               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11069,            0.028443,                   0,           0.0021333,                0.64,           0.0031468,          0.00084799,            0.085339,            0.016816,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.088319,            0.023116,                   0,              0.0032,                0.96,            0.049539,            0.013852,            0.074312,            0.012327,                   0,            0.055851,           0.0048515,           0.0048515
                   2,             0.08314,            0.019446,                   0,           0.0030667,                0.92,            0.058621,            0.013927,            0.079889,            0.010181,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.079495,            0.017568,                   0,              0.0032,                0.96,             0.36527,             0.11946,            0.076029,            0.008812,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.075296,             0.01732,                   0,           0.0033333,                   1,             0.30342,             0.11364,            0.063413,           0.0094316,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.067669,             0.01806,                   0,            0.016546,                   1,             0.33973,             0.12828,            0.057067,           0.0093641,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.06373,            0.018151,                   0,            0.037378,                0.96,             0.25075,            0.047897,            0.063569,           0.0080303,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.058712,            0.018888,                   0,             0.47516,                0.76,              0.5773,             0.12597,            0.050963,           0.0081129,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054062,            0.017793,                   0,             0.55042,                0.76,             0.71821,             0.28935,            0.052428,           0.0074042,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052575,            0.017208,                   0,             0.41751,                 0.8,             0.55414,             0.22628,            0.050026,           0.0072418,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.05478,            0.015979,                   0,             0.45635,                0.68,             0.50803,             0.14238,            0.049741,           0.0065845,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048563,            0.014742,                   0,             0.60385,             0.73194,             0.76196,             0.32635,            0.043405,           0.0066664,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045156,            0.015781,                   0,             0.82965,                0.76,             0.87347,             0.43872,            0.040742,           0.0062041,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043877,            0.013659,                   0,             0.67817,                0.76,             0.71339,             0.30703,            0.049325,           0.0058068,                   0,            0.008812,            0.008812,            0.008812
