filepath,xmin,xmax,ymin,ymax
../msc_anpr/images\N1.xml,1093,1396,645,727
../msc_anpr/images\N100.xml,134,301,312,350
../msc_anpr/images\N101.xml,31,139,128,161
../msc_anpr/images\N102.xml,164,316,216,243
../msc_anpr/images\N103.xml,813,1067,665,724
../msc_anpr/images\N104.xml,66,154,166,197
../msc_anpr/images\N105.xml,360,434,174,195
../msc_anpr/images\N106.xml,137,262,249,290
../msc_anpr/images\N107.xml,207,356,174,287
../msc_anpr/images\N108.xml,184,342,220,257
../msc_anpr/images\N109.xml,148,239,250,320
../msc_anpr/images\N11.xml,131,187,130,144
../msc_anpr/images\N110.xml,183,249,211,227
../msc_anpr/images\N111.xml,80,239,364,402
../msc_anpr/images\N112.xml,179,347,256,290
../msc_anpr/images\N113.xml,39,108,129,157
../msc_anpr/images\N114.xml,15,200,33,126
../msc_anpr/images\N116.xml,157,316,226,278
../msc_anpr/images\N117.xml,120,249,161,202
../msc_anpr/images\N118.xml,532,852,636,706
../msc_anpr/images\N119.xml,180,559,216,314
../msc_anpr/images\N12.xml,976,1284,669,754
../msc_anpr/images\N120.xml,647,736,332,387
../msc_anpr/images\N121.xml,311,506,324,370
../msc_anpr/images\N122.xml,342,494,243,288
../msc_anpr/images\N123.xml,11,246,78,165
../msc_anpr/images\N124.xml,165,328,276,324
../msc_anpr/images\N126.xml,149,399,269,327
../msc_anpr/images\N127.xml,24,142,209,245
../msc_anpr/images\N128.xml,58,221,198,271
../msc_anpr/images\N129.xml,301,504,351,402
../msc_anpr/images\N130.xml,419,513,173,213
../msc_anpr/images\N131.xml,198,349,107,143
../msc_anpr/images\N132.xml,111,320,133,286
../msc_anpr/images\N133.xml,795,1095,751,840
../msc_anpr/images\N134.xml,230,365,188,219
../msc_anpr/images\N135.xml,157,341,197,247
../msc_anpr/images\N136.xml,787,910,473,513
../msc_anpr/images\N137.xml,401,593,456,493
../msc_anpr/images\N138.xml,36,465,64,168
../msc_anpr/images\N139.xml,341,607,954,1011
../msc_anpr/images\N14.xml,1058,1351,660,756
../msc_anpr/images\N140.xml,346,423,197,221
../msc_anpr/images\N141.xml,150,348,255,296
../msc_anpr/images\N142.xml,66,174,234,259
../msc_anpr/images\N143.xml,115,524,144,296
../msc_anpr/images\N144.xml,39,177,201,275
../msc_anpr/images\N145.xml,233,432,88,151
../msc_anpr/images\N147.xml,424,613,548,591
../msc_anpr/images\N148.xml,244,369,240,293
../msc_anpr/images\N149.xml,186,324,116,148
../msc_anpr/images\N15.xml,582,853,622,691
../msc_anpr/images\N150.xml,172,372,97,143
../msc_anpr/images\N151.xml,144,277,216,252
../msc_anpr/images\N152.xml,265,725,247,347
../msc_anpr/images\N153.xml,133,279,352,385
../msc_anpr/images\N154.xml,106,245,157,196
../msc_anpr/images\N155.xml,145,313,167,201
../msc_anpr/images\N156.xml,49,106,230,249
../msc_anpr/images\N158.xml,122,224,268,292
../msc_anpr/images\N16.xml,887,1173,625,696
../msc_anpr/images\N160.xml,153,251,196,217
../msc_anpr/images\N162.xml,147,336,169,209
../msc_anpr/images\N163.xml,230,316,203,231
../msc_anpr/images\N164.xml,248,421,121,174
../msc_anpr/images\N165.xml,186,374,290,335
../msc_anpr/images\N166.xml,809,1034,246,295
../msc_anpr/images\N167.xml,345,848,242,416
../msc_anpr/images\N168.xml,271,474,514,561
../msc_anpr/images\N169.xml,167,413,208,263
../msc_anpr/images\N17.xml,88,216,507,556
../msc_anpr/images\N170.xml,299,442,337,386
../msc_anpr/images\N171.xml,13,444,137,270
../msc_anpr/images\N172.xml,147,370,133,184
../msc_anpr/images\N173.xml,80,335,150,243
../msc_anpr/images\N174.xml,315,665,442,531
../msc_anpr/images\N175.xml,183,250,205,229
../msc_anpr/images\N176.xml,195,383,320,358
../msc_anpr/images\N177.xml,331,538,263,317
../msc_anpr/images\N178.xml,210,335,289,351
../msc_anpr/images\N179.xml,203,297,217,240
../msc_anpr/images\N18.xml,373,528,366,408
../msc_anpr/images\N181.xml,361,499,381,432
../msc_anpr/images\N183.xml,216,343,155,190
../msc_anpr/images\N184.xml,229,1391,204,660
../msc_anpr/images\N185.xml,321,559,420,484
../msc_anpr/images\N186.xml,464,561,286,344
../msc_anpr/images\N187.xml,572,839,461,535
../msc_anpr/images\N188.xml,587,711,760,832
../msc_anpr/images\N189.xml,178,381,121,181
../msc_anpr/images\N19.xml,99,216,367,423
../msc_anpr/images\N190.xml,896,1558,814,969
../msc_anpr/images\N191.xml,317,568,319,397
../msc_anpr/images\N192.xml,543,769,390,461
../msc_anpr/images\N193.xml,274,502,2,59
../msc_anpr/images\N195.xml,186,367,137,232
../msc_anpr/images\N196.xml,119,220,84,111
../msc_anpr/images\N197.xml,120,184,103,130
../msc_anpr/images\N198.xml,214,335,138,169
../msc_anpr/images\N199.xml,45,112,206,255
../msc_anpr/images\N2.xml,1804,2493,1734,1882
../msc_anpr/images\N20.xml,498,796,729,814
../msc_anpr/images\N200.xml,196,442,227,293
../msc_anpr/images\N201.xml,157,290,193,229
../msc_anpr/images\N202.xml,157,329,260,296
../msc_anpr/images\N203.xml,765,1258,821,905
../msc_anpr/images\N204.xml,94,206,307,334
../msc_anpr/images\N205.xml,322,479,169,203
../msc_anpr/images\N206.xml,121,215,120,147
../msc_anpr/images\N207.xml,213,339,280,307
../msc_anpr/images\N208.xml,199,274,203,221
../msc_anpr/images\N209.xml,145,319,200,244
